Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2023-08-30,8639.8115234375,8733.722518257473,8639.8115234375,8733.722518257473,56227000
2023-08-31,8616.3330078125,8663.288501043085,8545.89976796662,8639.810754427794,136107200
2023-09-01,8663.2890625,8710.244558773713,8616.333566226287,8639.811314363144,42152700
2023-09-04,8663.2890625,8710.244558773713,8616.333566226287,8663.2890625,40610600
2023-09-05,8663.2890625,8686.766810636856,8639.811314363144,8686.766810636856,42007200
2023-09-06,8592.85546875,8686.766457479507,8592.85546875,8639.810963114754,49318400
2023-09-07,8616.3330078125,8616.3330078125,8545.89976796662,8569.377514581915,61405200
2023-09-08,8569.37890625,8592.856656678083,8498.945654965753,8545.901155821917,80732300
2023-09-11,8569.37890625,8569.37890625,8522.423405393836,8522.423405393836,53155900
2023-09-12,8545.9013671875,8569.379118196257,8522.423616178743,8545.9013671875,66479000
2023-09-13,8522.4228515625,8522.4228515625,8451.989604855373,8498.945102660124,69490200
2023-09-14,8545.9013671875,8569.379118196257,8451.990363152472,8451.990363152472,112757900
2023-09-15,8451.990234375,8545.901236979167,8451.990234375,8498.945735677084,121005300
2023-09-18,8451.990234375,8522.423486328125,8451.990234375,8498.945735677084,34272200
2023-09-19,8522.4228515625,8522.4228515625,8428.511855952996,8451.989604855373,33325800
2023-09-20,8592.85546875,8616.333215932376,8522.42222720287,8569.377721567622,54305500
2023-09-21,8569.37890625,8592.856656678083,8522.423405393836,8569.37890625,40607000
2023-09-22,8522.4228515625,8592.856098269629,8522.4228515625,8569.378349367253,42445300
2023-09-25,8451.990234375,8522.423486328125,8451.990234375,8522.423486328125,56132200
2023-09-26,8405.0341796875,8475.467427003317,8405.0341796875,8451.989677898046,73544700
2023-09-27,8334.6005859375,8451.989326584506,8334.6005859375,8358.0783340669,84345000
2023-09-29,8287.6455078125,8358.078755754248,8287.6455078125,8287.6455078125,118960000
2023-10-02,8522.4228515625,8545.900600464876,8334.600860343491,8358.078609245867,93663000
2023-10-03,8639.8115234375,8639.8115234375,8475.467282502548,8522.422779912535,98380200
2023-10-04,8639.8115234375,8686.767020847486,8569.378277322521,8639.8115234375,112582800
2023-10-05,8522.4228515625,8639.81159607438,8522.4228515625,8639.81159607438,72855700
2023-10-06,8475.4677734375,8545.901023632272,8475.4677734375,8545.901023632272,53344400
2023-10-09,8498.9453125,8569.378560946132,8475.467563017955,8475.467563017955,43774500
2023-10-10,8381.556640625,8451.989889705883,8381.556640625,8451.989889705883,71966100
2023-10-11,8381.556640625,8475.46763939951,8381.556640625,8381.556640625,84305800
2023-10-12,8498.9453125,8545.90081146409,8451.989813535913,8451.989813535913,71064500
2023-10-13,8522.4228515625,8569.378349367253,8475.467353757747,8545.900600464876,62941800
2023-10-16,8545.9013671875,8569.379118196257,8498.945865169986,8569.379118196257,29429200
2023-10-17,8405.0341796875,8522.422925213861,8405.0341796875,8498.94517610859,59606000
2023-10-18,8311.123046875,8405.034041754943,8311.123046875,8381.556293034957,50919200
2023-10-19,8217.2119140625,8311.122907366072,8217.2119140625,8287.64515904018,89509700
2023-10-20,8428.51171875,8475.46721579039,8193.73423354805,8193.73423354805,64554500
2023-10-23,8311.123046875,8381.556293034957,8311.123046875,8334.600795594986,50633500
2023-10-24,8240.689453125,8334.600444043803,8240.689453125,8240.689453125,76963200
2023-10-25,8334.6005859375,8381.556082196303,8287.645089678697,8287.645089678697,54748400
2023-10-26,8193.734375,8405.034115329512,8193.734375,8381.556366404011,63199400
2023-10-27,8170.25634765625,8264.167340158046,8170.25634765625,8193.7340957817,52450700
2023-10-30,8311.123046875,8311.123046875,8170.256554555084,8170.256554555084,51958200
2023-10-31,8217.2119140625,8287.64515904018,8193.734165736607,8264.167410714286,64907600
2023-11-01,8076.3466796875,8240.69094351835,8076.3466796875,8217.213191542514,67027600
2023-11-02,8311.123046875,8358.07854431497,8193.73430327507,8193.73430327507,56050900
2023-11-03,8358.078125,8405.033620084268,8311.12262991573,8381.555872542134,60414100
2023-11-06,8498.9453125,8498.9453125,8405.034314571823,8428.512064053868,84994200
